Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Incongruent,0.5,Target,9,0.27583910524845123
Incongruent,0.5,Target,10,0.28407440334558487
Incongruent,0.5,Target,11,0.27779386192560196
Incongruent,0.5,Target,12,0.31574201583862305
Incongruent,0.5,Target,13,0.29383745789527893
Incongruent,0.5,Target,14,0.24667499959468842
Incongruent,0.5,Target,15,0.24978671967983246
Incongruent,0.5,Target,16,0.2888660579919815
Incongruent,0.5,Target,17,0.23659909516572952
Incongruent,0.5,Target,18,0.16296494007110596
Incongruent,0.5,Target,19,0.18415644019842148
Incongruent,0.5,Target,20,0.17428066581487656
Incongruent,0.5,Target,21,0.21116387099027634
Incongruent,0.5,Target,22,0.19875053316354752
Incongruent,0.5,Target,23,0.18122177571058273
Incongruent,0.5,Target,24,0.17247683554887772
Incongruent,0.5,Target,25,0.19545182585716248
Incongruent,1.0,All,0,0.0074151812004856765
Incongruent,1.0,All,1,0.01365435088519007
Incongruent,1.0,All,2,0.01177739235572517
Incongruent,1.0,All,3,0.011572152376174927
Incongruent,1.0,All,4,0.012992460164241493
Incongruent,1.0,All,5,0.016043680254369974
Incongruent,1.0,All,6,0.01702496560756117
Incongruent,1.0,All,7,0.01956539833918214
Incongruent,1.0,All,8,0.01985845621675253
Incongruent,1.0,All,9,0.020191294141113758
Incongruent,1.0,All,10,0.025122334831394255
Incongruent,1.0,All,11,0.020832624868489802
Incongruent,1.0,All,12,0.025117769255302846
Incongruent,1.0,All,13,0.020995057304389775
Incongruent,1.0,All,14,0.021297008614055812
Incongruent,1.0,All,15,0.024808245478197932
Incongruent,1.0,All,16,0.016399167478084564
Incongruent,1.0,All,17,0.016398256877437234
Incongruent,1.0,All,18,0.015164903714321554
Incongruent,1.0,All,19,0.016536800656467676
Incongruent,1.0,All,20,0.014277309644967318
Incongruent,1.0,All,21,0.010197742143645883
Incongruent,1.0,All,22,0.010351591161452234
Incongruent,1.0,All,23,0.011845024360809475
Incongruent,1.0,All,24,0.014149594935588539
Incongruent,1.0,All,25,0.01425853930413723
Incongruent,1.0,Context,0,0.07774491993429726
Incongruent,1.0,Context,1,0.08690753162915066
Incongruent,1.0,Context,2,0.22213933652598564
Incongruent,1.0,Context,3,0.3745181284309046
Incongruent,1.0,Context,4,0.3891259336920634
Incongruent,1.0,Context,5,0.5332948339414106
Incongruent,1.0,Context,6,0.4458548449081917
Incongruent,1.0,Context,7,0.5280934936583859
Incongruent,1.0,Context,8,0.3838831528715075
Incongruent,1.0,Context,9,0.44484016375794805
Incongruent,1.0,Context,10,0.6403954995617475
Incongruent,1.0,Context,11,0.6849670618364255
Incongruent,1.0,Context,12,0.6231389497342992
Incongruent,1.0,Context,13,0.6641250326974343
Incongruent,1.0,Context,14,0.5223514557599205
Incongruent,1.0,Context,15,0.5528768828929695
Incongruent,1.0,Context,16,0.5714541965559737
Incongruent,1.0,Context,17,0.4621309660987495
Incongruent,1.0,Context,18,0.3641051465824042
Incongruent,1.0,Context,19,0.38355472112355166
Incongruent,1.0,Context,20,0.29911293849757276
Incongruent,1.0,Context,21,0.3266456412687285
Incongruent,1.0,Context,22,0.22141682295358345
Incongruent,1.0,Context,23,0.32326354522717327
Incongruent,1.0,Context,24,0.197738776213094
Incongruent,1.0,Context,25,0.28136680708968476
Incongruent,1.0,Target,0,0.05875919573009014
Incongruent,1.0,Target,1,0.19582269340753555
Incongruent,1.0,Target,2,0.31852179765701294
Incongruent,1.0,Target,3,0.26706820726394653
Incongruent,1.0,Target,4,0.2674044817686081
Incongruent,1.0,Target,5,0.2487994134426117
Incongruent,1.0,Target,6,0.28559116274118423
Incongruent,1.0,Target,7,0.24419166892766953
Incongruent,1.0,Target,8,0.22298555076122284
Incongruent,1.0,Target,9,0.2503941059112549
Incongruent,1.0,Target,10,0.21932588517665863
Incongruent,1.0,Target,11,0.2278308868408203
Incongruent,1.0,Target,12,0.23723523318767548
Incongruent,1.0,Target,13,0.269829697906971
Incongruent,1.0,Target,14,0.23149726539850235
Incongruent,1.0,Target,15,0.19307222962379456
Incongruent,1.0,Target,16,0.2300701066851616
Incongruent,1.0,Target,17,0.19850552827119827
Incongruent,1.0,Target,18,0.1442214846611023
Incongruent,1.0,Target,19,0.18821224570274353
Incongruent,1.0,Target,20,0.1737176775932312
Incongruent,1.0,Target,21,0.22729317843914032
Incongruent,1.0,Target,22,0.21983198821544647
Incongruent,1.0,Target,23,0.1510932669043541
Incongruent,1.0,Target,24,0.1522996500134468
Incongruent,1.0,Target,25,0.15317540615797043
