Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Congruent,0.5,Target,4,0.11778302420438691
Congruent,0.5,Target,5,0.11750103192629688
Congruent,0.5,Target,6,0.1278973645086146
Congruent,0.5,Target,7,0.14213902673571174
Congruent,0.5,Target,8,0.11418526831336996
Congruent,0.5,Target,9,0.12688199880561143
Congruent,0.5,Target,10,0.13602160543104577
Congruent,0.5,Target,11,0.13072635181403408
Congruent,0.5,Target,12,0.13660641121395836
Congruent,0.5,Target,13,0.13970126764086838
Congruent,0.5,Target,14,0.12211675852621821
Congruent,0.5,Target,15,0.10365214157271001
Congruent,0.5,Target,16,0.12598334138465087
Congruent,0.5,Target,17,0.1065309206362475
Congruent,0.5,Target,18,0.07161827566962915
Congruent,0.5,Target,19,0.08538275256428415
Congruent,0.5,Target,20,0.09084323585407357
Congruent,0.5,Target,21,0.1036338764764933
Congruent,0.5,Target,22,0.09296939410128151
Congruent,0.5,Target,23,0.08422712649740843
Congruent,0.5,Target,24,0.08459838755203015
Congruent,0.5,Target,25,0.09183902358424596
Congruent,1.0,All,0,0.017150870597635565
Congruent,1.0,All,1,0.0184295600504177
Congruent,1.0,All,2,0.02191457297462462
Congruent,1.0,All,3,0.022649010777417006
Congruent,1.0,All,4,0.027075182136402212
Congruent,1.0,All,5,0.035043663825578705
Congruent,1.0,All,6,0.032011040888733765
Congruent,1.0,All,7,0.03547583911126959
Congruent,1.0,All,8,0.036705550483064585
Congruent,1.0,All,9,0.038461173003165504
Congruent,1.0,All,10,0.03675216508010194
Congruent,1.0,All,11,0.0374076893657206
Congruent,1.0,All,12,0.03770412796443314
Congruent,1.0,All,13,0.036214061669130444
Congruent,1.0,All,14,0.03558954540551922
Congruent,1.0,All,15,0.03727680931986084
Congruent,1.0,All,16,0.033349616285660445
Congruent,1.0,All,17,0.03468733786951017
Congruent,1.0,All,18,0.03496723631379251
Congruent,1.0,All,19,0.031397010350712774
Congruent,1.0,All,20,0.02948039204277324
Congruent,1.0,All,21,0.029897183563849523
Congruent,1.0,All,22,0.02246425482365091
Congruent,1.0,All,23,0.029288766705819095
Congruent,1.0,All,24,0.02648979617674327
Congruent,1.0,All,25,0.030962676069060707
Congruent,1.0,Context,0,0.04175650373693894
Congruent,1.0,Context,1,0.04664585566118176
Congruent,1.0,Context,2,0.14704457208104996
Congruent,1.0,Context,3,0.25652014415809943
Congruent,1.0,Context,4,0.2788385915584072
Congruent,1.0,Context,5,0.4017614303297843
Congruent,1.0,Context,6,0.33032304511941746
Congruent,1.0,Context,7,0.3994187554005872
Congruent,1.0,Context,8,0.28355585318623167
Congruent,1.0,Context,9,0.32139930842500747
Congruent,1.0,Context,10,0.44443052623872503
Congruent,1.0,Context,11,0.4721492162538749
Congruent,1.0,Context,12,0.3871646193420571
Congruent,1.0,Context,13,0.44432671589946204
Congruent,1.0,Context,14,0.33282713253671925
Congruent,1.0,Context,15,0.3578404388842032
Congruent,1.0,Context,16,0.40880939066127847
Congruent,1.0,Context,17,0.3166994214453029
Congruent,1.0,Context,18,0.2487843516903619
Congruent,1.0,Context,19,0.2610706291246143
Congruent,1.0,Context,20,0.2240155392241749
Congruent,1.0,Context,21,0.20334024366950898
Congruent,1.0,Context,22,0.13301569000380395
Congruent,1.0,Context,23,0.2009617555872396
Congruent,1.0,Context,24,0.12075947673257553
Congruent,1.0,Context,25,0.18689114152538505
Congruent,1.0,Target,0,0.03271502281334533
Congruent,1.0,Target,1,0.07298588134122617
Congruent,1.0,Target,2,0.15263249084043007
Congruent,1.0,Target,3,0.1408014405349439
Congruent,1.0,Target,4,0.12882064934961046
Congruent,1.0,Target,5,0.12637327158908276
Congruent,1.0,Target,6,0.13451581867270623
Congruent,1.0,Target,7,0.14062486432182292
Congruent,1.0,Target,8,0.11549198593605649
Congruent,1.0,Target,9,0.12508368283284432
Congruent,1.0,Target,10,0.13678312619273184
Congruent,1.0,Target,11,0.13160815978366316
Congruent,1.0,Target,12,0.13259076547851278
Congruent,1.0,Target,13,0.14226172989460104
Congruent,1.0,Target,14,0.1241527592248255
Congruent,1.0,Target,15,0.09486252486310673
Congruent,1.0,Target,16,0.1177764069288969
Congruent,1.0,Target,17,0.1054512362771978
Congruent,1.0,Target,18,0.07394649535840885
Congruent,1.0,Target,19,0.08946970034404798
Congruent,1.0,Target,20,0.09115305357598559
Congruent,1.0,Target,21,0.1157658868857349
Congruent,1.0,Target,22,0.1007295105895592
Congruent,1.0,Target,23,0.09221461312915905
Congruent,1.0,Target,24,0.09133207865313372
Congruent,1.0,Target,25,0.0957775665418894
Incongruent,0.0,Target,0,0.030245459547476265
Incongruent,0.0,Target,1,0.03972287583358896
Incongruent,0.0,Target,2,0.048218698638039785
Incongruent,0.0,Target,3,0.07122429224034546
Incongruent,0.0,Target,4,0.08123758950298934
Incongruent,0.0,Target,5,0.09179021449632604
Incongruent,0.0,Target,6,0.08783047597178004
Incongruent,0.0,Target,7,0.14379922472236847
